text,label
Congratulations! You've won a $1000 gift card. To claim call now!,1
Free entry to win $1000000. Text YES to 12345 now!,1
Meeting scheduled for tomorrow at 2pm.,0
"Hi, how are you doing? Let's catch up soon.",0
URGENT: Your account has been suspended. Call this number immediately!,1
Your package will be delivered today between 2-4pm.,0
Click here to claim your prize! Limited time offer!,1
Remember to pick up milk on your way home.,0
You have won a free iPhone! Click here to claim now!,1
The project deadline has been extended to next Friday.,0
WINNER!! As a valued network customer you have been selected to receive a $900 prize reward!,1
Please call our customer service regarding your unpaid invoices,0
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575",1
I'll be there in 10 minutes,0
Reminder: Your appointment is scheduled for tomorrow at 3:00 PM,0
Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now!,1
"Hey, what's up? Want to grab lunch later?",0
"Dear customer, your invoice is ready to view at myaccount.example.com",0
"URGENT! Your Mobile number has been awarded $2000, call 8001816552",1
Could you please send me the report by end of day?,0
